kernel_name,round,strategy,wg_size,size,time_ms,gflops,bandwidth_gbps
add_bias_batched,3,Large GRF mode,512,512,0.016,0.06,0.13
add_bias_batched,3,Large GRF mode,512,1024,0.016,0.13,0.25
add_bias_batched,3,Large GRF mode,512,4096,0.016,0.52,1.04
add_bias_batched,3,Large GRF mode,512,16384,0.017,1.92,3.85
add_bias_batched,3,Large GRF mode,512,65536,0.014,9.10,18.19
add_bias_batched,4,Mixed precision,256,64,0.014,0.01,0.02
add_bias_batched,4,Mixed precision,256,512,0.012,0.09,0.17
add_bias_batched,4,Mixed precision,256,1024,0.012,0.17,0.35
add_bias_batched,4,Mixed precision,256,4096,0.012,0.70,1.41
add_bias_batched,4,Mixed precision,256,16384,0.012,2.80,5.60
add_bias_batched,4,Mixed precision,256,65536,0.013,10.23,20.46
add_bias_batched,5,Best config,256,64,0.013,0.01,0.02
add_bias_batched,5,Best config,256,512,0.011,0.09,0.18
add_bias_batched,5,Best config,256,1024,0.012,0.18,0.35
add_bias_batched,5,Best config,256,4096,0.012,0.71,1.42
add_bias_batched,5,Best config,256,16384,0.012,2.80,5.59
add_bias_batched,5,Best config,256,65536,0.012,10.71,21.43
